40 # number of electrodes
# x z
   0    0 
   1    0 
   2    0 
   3    0 
   4    0 
   5    0 
   6    0 
   7    0 
   8    0 
   9    0 
  10    0 
  11    0 
  12    0 
  13    0 
  14    0 
  15    0 
  16    0 
  17    0 
  18    0 
  19    0 
  20    0 
  21    0 
  22    0 
  23    0 
  24    0 
  25    0 
  26    0 
  27    0 
  28    0 
  29    0 
  30    0 
  31    0 
  32    0 
  33    0 
  34    0 
  35    0 
  36    0 
  37    0 
  38    0 
  39    0 
361  # number of data
#a  b  m  n  u  i 
  26    37    31    32    30.00     3.74   
  27    38    32    33    21.87     2.08   
  28    39    33    34    37.62     11.21  
  0     13    6     7     31.65     2.77   
  1     14    7     8     43.44     3.65   
  2     15    8     9     90.05     6.65   
  3     16    9     10    58.31     5.47   
  4     17    10    11    44.61     5.03   
  5     18    11    12    46.08     7.45   
  6     19    12    13    38.44     3.84   
  7     20    13    14    49.38     7.79   
  8     21    14    15    56.89     4.90   
  9     22    15    16    72.12     14.21  
  10    23    16    17    85.69     6.27   
  11    24    17    18    30.93     2.43   
  12    25    18    19    29.68     6.77   
  13    26    19    20    30.26     4.01   
  14    27    20    21    22.30     3.66   
  15    28    21    22    61.35     11.46  
  16    29    22    23    26.46     7.43   
  17    30    23    24    11.58     7.88   
  18    31    24    25    86.82     25.36  
  19    32    25    26    80.50     24.26  
  20    33    26    27    97.39     29.19  
  21    34    27    28    93.68     27.76  
  22    35    28    29    43.15     11.66  
  23    36    29    30    49.24     15.75  
  24    37    30    31    25.98     10.08  
  25    38    31    32    34.76     6.90   
  26    39    32    33    35.40     5.01   
  0     15    6     9     42.72     1.73   
  1     16    7     10    36.58     1.31   
  2     17    8     11    43.89     1.84   
  3     18    9     12    65.80     5.23   
  4     19    10    13    57.32     4.16   
  5     20    11    14    45.70     3.33   
  6     21    12    15    26.72     1.53   
  7     22    13    16    42.19     2.97   
  8     23    14    17    41.08     2.13   
  9     24    15    18    92.43     4.59   
  10    25    16    19    43.23     1.85   
  11    26    17    20    57.29     2.95   
  12    27    18    21    52.28     4.10   
  13    28    19    22    49.95     3.58   
  14    29    20    23    61.59     5.30   
  15    30    21    24    79.14     9.24   
  16    31    22    25    42.88     6.98   
  17    32    23    26    36.27     5.96   
  18    33    24    27    85.21     13.89  
  19    34    25    28    45.62     7.59   
  20    35    26    29    87.79     10.92  
  21    36    27    30    57.71     7.20   
  22    37    28    31    66.51     9.38   
  23    38    29    32    55.51     6.49   
  24    39    30    33    40.05     3.62   
  0     17    7     10    27.41     1.81   
  1     18    8     11    58.34     4.40   
  2     19    9     12    38.88     4.00   
  3     20    10    13    69.33     7.48   
  4     21    11    14    37.97     4.91   
  5     22    12    15    34.03     3.40   
  6     23    13    16    42.89     4.57   
  7     24    14    17    38.13     3.05   
  8     25    15    18    26.44     2.15   
  9     26    16    19    37.43     2.44   
  10    27    17    20    51.89     3.97   
  11    28    18    21    68.29     7.82   
  12    29    19    22    58.56     6.28   
  13    30    20    23    29.66     3.34   
  14    31    21    24    30.62     5.09   
  15    32    22    25    71.92     16.88  
  16    33    23    26    43.64     14.57  
  17    34    24    27    27.48     6.32   
  18    35    25    28    85.80     17.71  
  19    36    26    29    83.55     14.99  
  20    37    27    30    50.62     8.91   
  21    38    28    31    44.53     8.30   
  22    39    29    32    71.13     11.52  
  0     19    8     11    36.01     3.78   
  1     20    9     12    42.05     5.89   
  2     21    10    13    32.43     4.70   
  3     22    11    14    39.98     7.82   
  4     23    12    15    51.20     7.84   
  5     24    13    16    22.13     3.48   
  6     25    14    17    40.38     4.60   
  7     26    15    18    77.39     8.70   
  8     27    16    19    46.88     4.79   
  9     28    17    20    34.90     3.97   
  10    29    18    21    37.67     5.97   
  11    30    19    22    45.78     6.69   
  12    31    20    23    38.93     5.95   
  13    32    21    24    46.44     10.57  
  14    33    22    25    29.52     11.26  
  15    34    23    26    73.51     29.95  
  16    35    24    27    20.38     7.12   
  17    36    25    28    27.99     8.40   
  18    37    26    29    98.78     22.83  
  19    38    27    30    98.88     24.33  
  20    39    28    31    46.50     10.79  
  0     21    9     12    20.58     4.36   
  1     22    10    13    31.19     6.09   
  2     23    11    14    34.91     7.39   
  3     24    12    15    41.12     8.27   
  4     25    13    16    34.59     7.98   
  5     26    14    17    22.84     3.76   
  6     27    15    18    22.43     3.96   
  7     28    16    19    53.99     7.89   
