43 # shot/geophone points
#x	y
54.0000 18.0000
54.0000 16.0000
54.0000 14.0000
54.0000 12.0000
54.0000 10.0000
54.0000 8.0000
54.0000 6.0000
54.0000 4.0000
54.0000 2.0000
54.0000 0.0000
52.0000 0.0000
50.0000 0.0000
48.0000 0.0000
46.0000 0.0000
44.0000 0.0000
42.0000 0.0000
40.0000 0.0000
38.0000 0.0000
36.0000 0.0000
34.0000 0.0000
32.0000 0.0000
30.0000 0.0000
28.0000 0.0000
26.0000 0.0000
24.0000 0.0000
22.0000 0.0000
20.0000 0.0000
18.0000 0.0000
16.0000 0.0000
14.0000 0.0000
12.0000 1.0000
11.0833 2.7500
10.1667 4.5000
9.2500 6.2500
8.3333 8.0000
7.4167 9.7500
6.5000 11.5000
5.5833 13.2500
4.6667 15.0000
3.7500 16.7500
2.8333 18.5000
1.9167 20.2500
1.0000 22.0000
701 # measurements
#s	g	t
10 29 0.007270
10 30 0.007610
10 31 0.008420
10 32 0.008420
10 33 0.009170
10 34 0.009440
10 35 0.009440
10 36 0.009380
10 37 0.009310
10 38 0.009580
10 39 0.009850
10 40 0.010330
10 41 0.010740
10 42 0.010670
10 43 0.010940
31 1 0.007470
31 2 0.007950
31 3 0.007880
31 4 0.007880
31 5 0.008150
31 7 0.007740
31 8 0.008080
31 9 0.008220
31 10 0.008420
31 11 0.009380
31 12 0.009440
31 13 0.009170
31 14 0.008840
31 15 0.008360
31 16 0.008220
31 17 0.007740
31 18 0.007670
31 19 0.007540
31 20 0.006860
31 21 0.006380
31 22 0.005630
31 23 0.004890
31 24 0.004270
31 25 0.004070
31 26 0.003870
31 27 0.003190
31 28 0.002780
31 29 0.002370
31 30 0.001690
32 1 0.007820
32 2 0.007750
32 3 0.008230
32 4 0.008300
32 5 0.008030
32 6 0.007820
32 7 0.007140
32 8 0.007140
32 9 0.007550
32 10 0.007690
32 11 0.007410
32 12 0.007750
32 13 0.007620
32 14 0.007410
32 15 0.007280
32 16 0.007140
32 17 0.007210
32 18 0.006730
32 19 0.006390
32 20 0.005510
32 21 0.004690
32 22 0.004220
32 24 0.004080
32 25 0.004410
32 26 0.003590
32 27 0.003530
32 28 0.002980
32 29 0.002370
32 30 0.001820
33 1 0.007670
33 2 0.008290
33 3 0.008220
33 4 0.008080
33 7 0.007880
33 8 0.007740
33 9 0.007880
33 10 0.008010
33 11 0.007670
33 12 0.007330
33 13 0.007270
33 14 0.007200
33 15 0.006860
33 16 0.006650
33 17 0.006380
33 18 0.005770
33 19 0.005630
33 20 0.005230
33 21 0.004610
33 22 0.004070
33 23 0.003730
33 24 0.003320
33 25 0.002910
33 26 0.002640
33 27 0.002370
33 28 0.001890
33 29 0.001890
33 30 0.001690
34 1 0.007810
34 2 0.008220
34 3 0.008080
34 4 0.008080
34 5 0.008080
34 6 0.008150
34 7 0.007880
34 8 0.007670
34 9 0.007810
34 10 0.007470
34 11 0.007270
34 12 0.006990
34 13 0.006790
34 14 0.006650
34 15 0.006520
34 16 0.006040
34 17 0.005770
34 18 0.005500
34 19 0.005570
34 20 0.005020
34 21 0.004550
34 22 0.004140
34 23 0.003730
34 24 0.003320
34 25 0.003120
34 26 0.002980
34 27 0.002640
34 28 0.002160
34 29 0.002440
34 30 0.001760
35 1 0.007740
35 2 0.008150
35 3 0.008220
35 4 0.008220
35 5 0.008220
35 7 0.008110
35 8 0.007810
35 9 0.008110
35 10 0.008360
35 11 0.008360
35 12 0.008360
35 13 0.008010
35 14 0.007470
35 15 0.007060
35 16 0.006720
35 17 0.006040
35 18 0.005910
35 19 0.005360
35 20 0.005090
35 21 0.004410
35 22 0.004140
