40 # number of electrodes
# x y z
0.000 0.000 0.250 
-1.000 0.000 0.250 
-2.000 0.000 0.250 
-3.000 0.000 0.250 
-4.000 0.000 0.250 
-5.000 0.000 0.250 
-6.000 0.000 0.250 
-7.000 0.000 0.250 
-8.000 0.000 0.250 
-9.000 0.000 0.250 
-10.000 0.000 0.250 
-11.000 0.000 0.250 
-12.000 0.000 0.250 
-13.000 0.000 0.250 
-14.000 0.000 0.250 
-15.000 0.000 0.250 
-16.000 0.000 0.250 
-17.000 0.000 0.250 
-18.000 0.000 0.250 
-19.000 0.000 0.250 
-20.000 0.000 0.250 
-21.000 0.000 0.250 
-22.000 0.000 0.250 
-23.000 0.000 0.250 
-24.000 0.000 0.250 
-25.000 0.000 0.250 
-26.000 0.000 0.250 
-27.000 0.000 0.250 
-28.000 0.000 0.250 
-29.000 0.000 0.250 
-30.000 0.000 0.250 
-31.000 0.000 0.250 
-32.000 0.000 0.250 
-33.000 0.000 0.250 
-34.000 0.000 0.250 
-35.000 0.000 0.250 
-36.000 0.000 0.250 
-37.000 0.000 0.250 
-38.000 0.000 0.250 
-39.000 0.000 0.250 
359  # number of data
#a  b  m  n  i  u  err
  20    29    24    25     29.19     54.97     0.20
  21    30    25    26     20.30     57.59     0.00
  22    31    26    27     42.19     74.94     0.20
  24    33    28    29     15.46     65.31     0.10
  25    34    29    30     17.43     31.13     0.20
  26    35    30    31     78.80     32.58     0.40
  27    36    31    32     52.51     21.12     0.00
  28    37    32    33     139.33    62.20     0.20
  29    38    33    34     41.48     74.85     0.00
  30    39    34    35     34.65     32.16     0.20
  31    40    35    36     46.26     30.18     0.00
  1     12    6     7      21.99     15.12     0.20
  2     13    7     8      44.44     47.85     0.30
  3     14    8     9      46.18     67.46     0.10
  4     15    9     10     23.32     78.74     0.10
  5     16    10    11     28.29     20.25     0.40
  6     17    11    12     31.10     25.41     0.40
  7     18    12    13     47.62     64.03     0.20
  8     19    13    14     40.72     24.48     0.10
  9     20    14    15     29.86     10.78     1.20
  10    21    15    16     41.91     26.98     0.30
  11    22    16    17     25.48     21.12     0.80
  12    23    17    18     31.30     43.96     0.20
  13    24    18    19     12.36     44.71     0.00
  14    25    19    20     15.44     35.22     0.00
  15    26    20    21     29.69     47.44     0.10
  16    27    21    22     22.12     26.35     0.00
  17    28    22    23     31.97     54.53     0.40
  18    29    23    24     59.75     46.25     0.10
  19    30    24    25     30.44     25.42     0.70
  20    31    25    26     33.53     57.74     0.00
  21    32    26    27     24.84     35.76     0.10
  22    33    27    28     74.97     27.20     0.10
