40 # number of electrodes
# x y z
0.000 0.000 1.250 
-1.000 0.000 1.250 
-2.000 0.000 1.250 
-3.000 0.000 1.250 
-4.000 0.000 1.250 
-5.000 0.000 1.250 
-6.000 0.000 1.250 
-7.000 0.000 1.250 
-8.000 0.000 1.250 
-9.000 0.000 1.250 
-10.000 0.000 1.250 
-11.000 0.000 1.250 
-12.000 0.000 1.250 
-13.000 0.000 1.250 
-14.000 0.000 1.250 
-15.000 0.000 1.250 
-16.000 0.000 1.250 
-17.000 0.000 1.250 
-18.000 0.000 1.250 
-19.000 0.000 1.250 
-20.000 0.000 1.250 
-21.000 0.000 1.250 
-22.000 0.000 1.250 
-23.000 0.000 1.250 
-24.000 0.000 1.250 
-25.000 0.000 1.250 
-26.000 0.000 1.250 
-27.000 0.000 1.250 
-28.000 0.000 1.250 
-29.000 0.000 1.250 
-30.000 0.000 1.250 
-31.000 0.000 1.250 
-32.000 0.000 1.250 
-33.000 0.000 1.250 
-34.000 0.000 1.250 
-35.000 0.000 1.250 
-36.000 0.000 1.250 
-37.000 0.000 1.250 
-38.000 0.000 1.250 
-39.000 0.000 1.250 
361  # number of data
#a  b  m  n  i  u  err
  20    29    24    25     5.40      32.92     0.00
  21    30    25    26     3.41      32.62     0.30
  22    31    26    27     5.92      67.53     0.00
  23    32    27    28     3.24      39.99     0.10
  24    33    28    29     6.43      74.49     0.10
  25    34    29    30     8.32      67.65     0.10
  26    35    30    31     6.25      37.61     0.00
  27    36    31    32     5.08      41.21     0.40
  28    37    32    33     1.82      27.92     0.20
  29    38    33    34     2.66      44.42     0.00
  30    39    34    35     5.40      27.63     0.10
  31    40    35    36     9.12      49.95     0.10
  1     12    6     7      1.38      36.16     0.30
  2     13    7     8      1.16      21.89     0.70
  3     14    8     9      2.85      53.32     0.00
  4     15    9     10     4.21      96.85     0.10
  5     16    10    11     2.04      31.28     0.20
  6     17    11    12     2.86      54.30     0.10
  7     18    12    13     2.72      37.65     0.00
  8     19    13    14     6.67      95.03     0.00
  9     20    14    15     4.58      49.30     0.20
  10    21    15    16     3.80      74.88     0.10
  11    22    16    17     4.24      40.16     0.00
  12    23    17    18     2.28      53.32     0.10
  13    24    18    19     1.91      36.73     0.00
  14    25    19    20     3.68      26.83     0.00
  15    26    20    21     5.62      58.54     0.30
  16    27    21    22     5.23      51.62     0.20
  17    28    22    23     4.55      34.70     0.00
  18    29    23    24     5.58      37.31     0.30
  19    30    24    25     18.44     64.90     0.00
  20    31    25    26     12.79     61.65     0.20
  21    32    26    27     10.57     68.44     0.00
  22    33    27    28     8.25      53.58     0.30
  23    34    28    29     7.81      39.77     0.20
  24    35    29    30     15.33     89.30     0.20
  25    36    30    31     12.77     48.96     0.00
  26    37    31    32     16.47     68.29     0.10
  27    38    32    33     3.74      30.00     0.10
  28    39    33    34     2.08      21.87     0.10
  29    40    34    35     11.21     37.62     0.00
  1     14    7     8      2.77      31.65     0.10
  2     15    8     9      3.65      43.44     0.00
  3     16    9     10     6.65      90.05     0.00
  4     17    10    11     5.47      58.31     0.00
  5     18    11    12     5.03      44.61     0.00
  6     19    12    13     7.45      46.08     0.30
  7     20    13    14     3.84      38.44     0.10
  8     21    14    15     7.79      49.38     0.10
  9     22    15    16     4.90      56.89     0.30
  10    23    16    17     14.21     72.12     0.10
  11    24    17    18     6.27      85.69     0.00
  12    25    18    19     2.43      30.93     0.10
  13    26    19    20     6.77      29.68     0.00
  14    27    20    21     4.01      30.26     0.00
  15    28    21    22     3.66      22.30     0.10
  16    29    22    23     11.46     61.35     0.00
  17    30    23    24     7.43      26.46     0.60
  18    31    24    25     7.88      11.58     0.20
  19    32    25    26     25.36     86.82     0.00
  20    33    26    27     24.26     80.50     0.30
  21    34    27    28     29.19     97.39     0.10
  22    35    28    29     27.76     93.68     0.00
  23    36    29    30     11.66     43.15     1.00
  24    37    30    31     15.75     49.24     0.00
  25    38    31    32     10.08     25.98     0.30
  26    39    32    33     6.90      34.76     0.20
  27    40    33    34     5.01      35.40     0.00
  1     16    7     10     1.73      42.72     0.30
  2     17    8     11     1.31      36.58     0.30
  3     18    9     12     1.84      43.89     0.00
  4     19    10    13     5.23      65.80     0.00
  5     20    11    14     4.16      57.32     0.20
  6     21    12    15     3.33      45.70     0.10
  7     22    13    16     1.53      26.72     0.20
  8     23    14    17     2.97      42.19     0.10
  9     24    15    18     2.13      41.08     0.00
  10    25    16    19     4.59      92.43     0.00
  11    26    17    20     1.85      43.23     0.10
  12    27    18    21     2.95      57.29     0.00
  13    28    19    22     4.10      52.28     0.00
  14    29    20    23     3.58      49.95     0.00
  15    30    21    24     5.30      61.59     0.00
  16    31    22    25     9.24      79.14     0.00
  17    32    23    26     6.98      42.88     0.00
  18    33    24    27     5.96      36.27     0.00
  19    34    25    28     13.89     85.21     0.00
  20    35    26    29     7.59      45.62     0.40
  21    36    27    30     10.92     87.79     0.00
  22    37    28    31     7.20      57.71     0.00
  23    38    29    32     9.38      66.51     0.00
  24    39    30    33     6.49      55.51     0.00
  25    40    31    34     3.62      40.05     0.00
  1     18    8     11     1.81      27.41     0.10
  2     19    9     12     4.40      58.34     0.10
  3     20    10    13     4.00      38.88     0.10
  4     21    11    14     7.48      69.33     0.40
  5     22    12    15     4.91      37.97     0.20
  6     23    13    16     3.40      34.03     0.00
  7     24    14    17     4.57      42.89     0.50
  8     25    15    18     3.05      38.13     0.10
  9     26    16    19     2.15      26.44     0.40
  10    27    17    20     2.44      37.43     0.20
  11    28    18    21     3.97      51.89     0.00
